rental_id,price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
1545,1275000,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan
2472,5750000,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
2919,2250000,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
2790,2397500,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
3946,8750000,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,Manhattan
10817,1900000,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
9077,997500,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan
5150,1497500,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
9507,7500000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan
1437,2325000,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
404,1475000,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
8293,3460000,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
6594,2437500,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,Manhattan
2964,2425000,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5405,1850000,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
5635,2100000,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
5832,1097500,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
7050,2100000,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
476,4500000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan
3491,2475000,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
2172,1500000,0.5,1,573,11,8,31,0,0,0,0,1,0,0,0,Upper East Side,Manhattan
2443,1225000,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
11328,975000,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,Manhattan
6142,1687500,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
6216,1197500,2.5,1,1000,3,1,106,0,0,0,0,0,0,0,0,East Harlem,Manhattan
9535,2495000,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
4678,3747500,2,2,1431,3,4,10,0,1,1,1,1,1,0,1,Upper West Side,Manhattan
5169,5000000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan
5230,1545000,2,1,800,10,3,106,0,0,0,0,0,0,0,0,East Village,Manhattan
1710,5452000,3,3,1307,6,26,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
11111,1050000,0,1,410,8,3,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
10393,1249500,0,1,400,2,3,116,1,1,1,1,1,0,0,1,Upper West Side,Manhattan
9177,1825000,2,1,763,10,30,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
9536,1900000,2,1,900,4,6,116,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
133,4900000,2,2,1270,7,7,6,0,1,1,1,1,0,0,0,Gramercy Park,Manhattan
4687,2175000,1,1,783,2,6,29,0,1,0,1,1,0,0,0,West Village,Manhattan
4557,1247500,2,1,800,4,4,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
403,1812500,1,1,650,43,19,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
899,4500000,2,2,1250,13,46,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
4733,2900000,2,2,1200,2,6,75,0,0,0,0,1,1,0,0,Central Park South,Manhattan
2154,1647500,1,1,465,5,2,29,0,1,0,1,1,0,0,0,West Village,Manhattan
1348,1100000,0,1,325,6,24,87,0,1,0,1,1,1,0,0,Midtown East,Manhattan
10158,2742500,2,1,1028,7,24,39,1,0,1,0,0,1,0,0,Midtown East,Manhattan
668,1475000,0,1,765,2,4,29,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
4268,1375000,1,1,600,9,12,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
10716,4100000,2,2,1431,9,8,7,0,0,0,0,0,0,1,0,Chelsea,Manhattan
6366,1000000,2,1,750,3,1,106,0,0,0,1,0,0,1,0,Central Harlem,Manhattan
9899,2497500,3,1,1100,2,2,13,0,0,0,1,1,0,0,1,Financial District,Manhattan
8005,937500,2,1,900,3,4,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
8976,1950000,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
3637,1200000,0,1,500,9,1,106,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
9019,2662500,1,1,697,2,36,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan
5275,1750000,0,1,525,5,6,105,1,1,1,1,1,0,1,1,Midtown South,Manhattan
5877,1950000,1,1,643,4,10,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1694,1687500,2,1,800,6,2,106,0,0,1,0,0,1,0,0,Upper West Side,Manhattan
7995,3200000,2,2,1094,3,8,9,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
11213,6250000,2,2,2082,2,2,101,0,0,0,0,0,1,0,0,Tribeca,Manhattan
2156,1297500,0,1,285,5,10,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1115,1099500,2,1,900,11,3,106,1,0,0,0,0,0,0,0,East Harlem,Manhattan
1886,1215000,0,1,330,2,7,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1001,5000000,2,2,1318,3,15,30,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
5402,3200000,3,2,1100,4,3,13,0,0,0,0,1,1,0,0,Lower East Side,Manhattan
3482,2947500,2,2,1250,1,25,112,1,0,0,1,0,0,0,0,Financial District,Manhattan
6128,1300000,0,1,490,3,10,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
3736,2350000,1,1,500,2,3,116,0,0,0,0,0,0,0,0,Soho,Manhattan
2309,3000000,2,2,1428,3,15,88,0,1,0,1,1,1,1,1,Upper West Side,Manhattan
1148,2497500,2,1,866,2,5,25,0,0,0,1,0,1,0,0,Upper East Side,Manhattan
8320,1694000,0,1,825,4,4,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
5736,1741500,1,1,735,9,4,87,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1904,1450000,2,1,1250,2,2,96,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
2376,2300000,1,1,890,2,8,10,0,0,1,1,1,1,0,0,Midtown East,Manhattan
10520,847500,1,1,750,1,4,87,1,1,0,0,0,0,0,0,Central Harlem,Manhattan
7224,1350000,0,1,542,6,22,28,0,0,0,1,1,1,0,0,Midtown East,Manhattan
1380,5875000,4,3,3100,2,11,111,1,0,0,0,0,0,0,0,Midtown,Manhattan
6843,2540000,1,1,850,2,26,42,1,0,1,0,0,1,1,0,Upper West Side,Manhattan
1554,2445000,1,1,815,43,7,8,1,0,0,0,1,0,0,0,Upper West Side,Manhattan
6566,1900000,1,1,750,13,21,9,1,0,0,1,1,0,0,1,Midtown West,Manhattan
3068,2600000,3,2,2000,5,4,106,0,0,0,0,0,1,0,0,Central Harlem,Manhattan
3515,1400000,0,1,450,4,5,43,1,0,0,0,0,0,0,0,Financial District,Manhattan
1645,3000000,2,2,1200,9,4,105,0,0,1,0,0,0,0,0,Midtown West,Manhattan
2704,1050000,0,1,400,5,2,101,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
3187,1150000,1,1,500,6,3,96,0,0,0,0,0,0,0,0,Chinatown,Manhattan
6882,8375000,3,3,2850,1,27,102,0,0,0,0,0,0,0,0,Financial District,Manhattan
5974,3200000,2,1,1151,3,7,87,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
8071,2797500,2,2,1170,4,28,85,1,1,1,1,1,1,0,1,Financial District,Manhattan
6519,1400000,0,1,466,5,4,10,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
9663,1609500,0,1,533,4,17,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
